obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""325.8708""","=""0.0004""","=""325.871060""","=""0.000019""","=""55""","=""""","=""""","=""""","=""""",,"=""0.2766623""","=""4.0813634""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3P).7p""","=""2D*""","=""3/2""",6,4,,"=""""","=""L7344""",
"=""328.9847""","=""0.0004""","=""328.98443""","=""0.00003""","=""270""","=""2.0e+07""","=""3.2e-02""","=""1.4e+00""","=""-0.9""",E,"=""0.0000000""","=""3.768695""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3F).7p""","=""4F*""","=""3/2""",4,4,,"=""T10463""","=""L7344""",
"=""330.3321""","=""0.0013""","=""""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""330.4232""","=""0.0004""","=""330.422891""","=""0.000022""","=""330""","=""6.e+06""","=""9.e-03""","=""6.e-01""","=""-1.3""",E,"=""0.2766623""","=""4.0289507""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7p""","=""2F*""","=""5/2""",6,6,,"=""T10463""","=""L7344""",
"=""332.1605""","=""0.0013""","=""""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""333.1218""","=""0.0013""","=""""","=""""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""335.1023""","=""0.0013""","=""""","=""""","=""83""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""338.1931""","=""0.0004""","=""338.192963""","=""0.000023""","=""340""","=""7.e+06""","=""1.2e-02""","=""8.e-01""","=""-1.2""",E,"=""0.2766623""","=""3.9427409""","=""6d.7s2""","=""2D""","=""5/2""","=""5f.7s2""","=""2F*""","=""5/2""",6,6,,"=""T10463""","=""L7344""",
"=""339.2384""","=""0.0013""","=""""","=""""","=""55""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""341.7251""","=""0.0004""","=""341.725578""","=""0.000021""","=""390""","=""1.9e+07""","=""3.3e-02""","=""2.3e+00""","=""-0.70""",D,"=""0.2766623""","=""3.9048425""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7p""","=""4F*""","=""5/2""",6,6,,"=""T10463""","=""L7344""",
